English/Pinyin,Notes,GND,Chinese,Tibetan 1,Tibetan 2,Tibetan 3,Tibetan 4,Tibetan 5,Tibetan 6,Tibetan 7,Tibetan 8,Tibetan 9,Tibetan 10,Tibetan 11,Tibetan 12,Tibetan 13
Xibusha,,,西卜沙,དཔྱིད་ས་,,,,,,,,,,,,
Xikang,,,西康,ཤིས་ཁམས་,ཤིའི་ཁམས་,,,,,,,,,,,
Xinduqiao,,,新都橋,ར་རྔ་ཁ་,རྭ་རྔ་ཁ་,,,,,,,,,,,
Xinghai,,,興海,ཞིན་ཧེ་,,,,,,,,,,,,
Xining,,,西寧,ཤིས་ལིང་,ཟི་ལིང་,,,,,,,,,,,
Xinjiang,,,新疆,ཤིན་ཅང་,ཤིང་ཅང་,ཤིང་བྱང་,,,,,,,,,,
Xinlong,,,新龍,ཉག་རོང་,,,,,,,,,,,,
Xinlu Hai,,,新路海,ཡིད་ལྷུང་ལྷ་མཚོ་,,,,,,,,,,,,
Xireg,,,希里溝,ཤིས་ལིས་ཁུག་,,,,,,,,,,,,
Xishuangbanna,,,西雙版納,ཤིས་ཧྲུང་པཱན་ན་,ཤིས་ཧྲུང་པཱན་ལ་,ཤིས་ཧྲོང་པན་ན་,,,,,,,,,,
Xuecheng,,,薛城,ཤོ་ཁྲིན་,,,,,,,,,,,,
Xuzhou,,,徐州,བྱུས་ཀྲུའུ་,,,,,,,,,,,,
Ya'an,,,雅安,གཡག་རྔན་,དབྱ་ཨན་,,,,,,,,,,,
Yadong,,,亞東,གྲོ་མོ་,,,,,,,,,,,,
Yajiang,,,雅江,ཉག་ཆུ་ཁ་,,,,,,,,,,,,
Yalong River,,,雅礱江,ཉག་ཆུ་,,,,,,,,,,,,
Yamuna River,,,亞穆納河,ཡ་མུ་ན་,,,,,,,,,,,,
Yamzho Yumco,,,羊卓雍措,ཡ་འབྲོག་གཡུ་མཚོ་,,,,,,,,,,,,
Yan'an,,,延安,ཡན་ཨན་,གཡག་རྔན་,,,,,,,,,,,
Yanbian,,,延邊,ཡན་པན་,,,,,,,,,,,,
Yanchi,,,鹽池,ཡའན་ཁྲི་,,,,,,,,,,,,
Yangon,,,仰光,རན་གུན་,,,,,,,,,,,,
Yangshuo,,,陽朔,གཡང་ཧྲོའོ་,,,,,,,,,,,,
Yangtze River,,,長江,ཁྲང་ཅང་,འབྲི་ཆུ་,,,,,,,,,,,
Yarlung Tsangpo,,,雅魯藏布,ཡར་ལུང་གཙང་པོ་,ཡར་ཀླུང་གཙང་པོ་,,,,,,,,,,,
Yellow Mountain,,,黃山,ཧོང་ཧྲན་,,,,,,,,,,,,
Yellow River,,,黃河,རྨ་ཆུ་,,,,,,,,,,,,
Yellow Sea,,,黃海,རྒྱ་མཚོ་སེར་པོ་,,,,,,,,,,,,
Yemen,,,也門,གཡེ་མིང་,ཡེ་མན་,,,,,,,,,,,
Yidun,,,義敦,སྟག་ཤོད་,,,,,,,,,,,,
Yijiangshan,,,一江山,ཡིད་ཅང་ཧྲན་,,,,,,,,,,,,
Yinchuan,,,銀川,ཡེན་ཁྲུའན་,ཡིན་ཁྲུའན་,,,,,,,,,,,
Yugoslavia,,,南斯拉夫,ནན་སི་ལ་ཧྥུ་,ལོན་སི་ལ་ཧྥུ་,ཡོ་གོ་སིལ་ཝི་ཡ་,ནའན་སི་ལ་ཕུའུ་,ནའན་སི་ལ་ཕུ་,ཡུ་གོ་སེ་ལ་བི་,,,,,,,
Yulin,,,榆林,ཡུས་ལིན་,,,,,,,,,,,,
Yumen,,,玉門,ཡུ་མུན་,,,,,,,,,,,,
Yungui Plateau,,,雲貴高原,ཡུན་གུས་ས་མཐོ་,,,,,,,,,,,,
Yunnan,,,雲南,ཡུན་ནན་,ཡུན་ལེན་,ཡུན་ནའན་,ཡུལ་ནའན་,ཡུན་ནཱན་,,,,,,,,
Yushan,,,漁山,ཡུས་ཧྲན་,,,,,,,,,,,,
Yushu,,,玉樹,ཡུས་ཧྲུ་,ཡུས་ཤུལ་,,,,,,,,,,,
Yuwang,,,豫旺,གཡུའི་དབང་,,,,,,,,,,,,
Zagunao,,,雜谷腦,བཀྲ་ཤིས་གླིང་,,,,,,,,,,,,
Zêkog,,,澤庫,རྩེ་ཁོག་,ཚས་ཁུའུ་,,,,,,,,,,,
Zhamu,,,扎木,གྲ་མོང་,,,,,,,,,,,,
Zhanang,,,扎囊,གྲ་ནང་,,,,,,,,,,,,
Zhangjiakou,,,張家口,ཀྲང་གྱ་ཁུག་,,,,,,,,,,,,
Zhejiang,,,浙江,གྲེ་ཅང་,ཀྲེའི་ཅང་,ཀྲའེ་ཅང་,གྲེད་ཅང་,,,,,,,,,
Zhengzhou,,,鄭州,ཀྲིན་ཀྲིག་,གྲིན་ཀྲུའུ་,,,,,,,,,,,
Zhijin,,,織金,དྲི་ཅིན་,,,,,,,,,,,,
Zhizongjia,in Qaidam Basin,,只宗家,ཙི་ཀྲུང་རྐྱ་,,,,,,,,,,,,
Zhongdian,,,中甸,རྒྱལ་ཐང་,,,,,,,,,,,,
Zhongjiang,,,中江,ཀྲུང་ཅང་,,,,,,,,,,,,
Zhongsha Islands,,,中沙,ཀྲུང་ཧྲ་གླིང་ཚོམ་,,,,,,,,,,,,
Zhouqu,,,舟曲,འབྲུག་ཆུ་,,,,,,,,,,,,
Zhoushan,,,舟山,ཀྲོའོ་སྲན་,,,,,,,,,,,,
Zhuokeji,,,卓克基,མཆོག་བརྩེ་,མཆོག་རྩེ་,,,,,,,,,,,
Zhuotou,,,卓頭,དྲོ་ཐའོ་,,,,,,,,,,,,
Zhuwo,,,朱倭,ཏྲེ་ཧོར་,,,,,,,,,,,,
Zoige,,,若爾蓋,མཛོད་དགེ་,མཛོད་རྒེ་,མཛོ་རྒེ་,མཛེས་རྒེ་,,,,,,,,,
Zongde,,,宗德,གཙང་སྟོད་,,,,,,,,,,,,
